a,b
-2,2.12692801104297
-1.96,2.09178097985147
-1.92,2.05680711345204
-1.88,2.02201167570186
-1.84,1.98740002486257
-1.8,1.95297761052607
-1.76,1.91874997013467
-1.72,1.88472272508021
-1.68,1.85090157636787
-1.64,1.81729229983146
-1.6,1.78390074088834
-1.56,1.75073280882382
-1.52,1.7177944705966
-1.48,1.68509174415876
-1.44,1.65263069128632
-1.4,1.62041740991845
-1.36,1.58845802600647
-1.32,1.55675868487647
-1.28,1.52532554211252
-1.24,1.49416475397075
-1.2,1.46328246733803
-1.16,1.43268480925264
-1.12,1.40237787600798
-1.08,1.37236772186436
-1.04,1.34266034739774
-1,1.31326168751822
-0.96,1.28417759919519
-0.92,1.25541384892973
-0.88,1.22697610001895
-0.84,1.19886989966032
-0.8,1.17110066594778
-0.76,1.14367367481449
-0.72,1.11659404698022
-0.68,1.08986673496366
-0.64,1.06349651022253
-0.6,1.03748795048589
-0.56,1.01184542734431
-0.52,0.986573094164618
-0.48,0.961674874395743
-0.44,0.93715445033211
-0.4,0.913015252399953
-0.36,0.889260449030284
-0.32,0.865892937180075
-0.28,0.842915333560347
-0.24,0.820329966626426
-0.2,0.798138869381592
-0.16,0.77634377304074
-0.12,0.754946101595614
-0.0800000000000001,0.73394696731759
-0.04,0.713347167228034
0,0.693147180559945
0.04,0.673347167228034
0.0800000000000001,0.65394696731759
0.12,0.634946101595613
0.16,0.61634377304074
0.2,0.598138869381592
0.24,0.580329966626426
0.28,0.562915333560347
0.32,0.545892937180075
0.36,0.529260449030284
0.4,0.513015252399953
0.44,0.49715445033211
0.48,0.481674874395743
0.52,0.466573094164618
0.56,0.451845427344306
0.6,0.437487950485886
0.64,0.423496510222534
0.68,0.409866734963662
0.72,0.396594046980224
0.76,0.383673674814494
0.8,0.371100665947778
0.84,0.358869899660323
0.88,0.346976100018953
0.92,0.335413848929731
0.96,0.324177599195189
1,0.313261687518223
1.04,0.302660347397739
1.08,0.292367721864358
1.12,0.282377876007976
1.16,0.272684809252639
1.2,0.263282467338031
1.24,0.254164753970747
1.28,0.245325542112517
1.32,0.236758684876467
1.36,0.228458026006468
1.4,0.220417409918451
1.44,0.212630691286323
1.48,0.205091744158761
1.52,0.197794470596596
1.56,0.190732808823822
1.6,0.183900740888339
1.64,0.17729229983146
1.68,0.170901576367871
1.72,0.164722725080208
1.76,0.158749970134672
1.8,0.152977610526074
1.84,0.14740002486257
1.88,0.142011675701859
1.92,0.136807113452038
1.96,0.131780979851469
2,0.126928011042973
